R,zeta,Gamma_enclosed,dGamma_dR,material_viscous_dGamma_dt
6.880000000000000560e-01,4.624978014620897970e-01,9.829141907764227248e-01,1.999300060835631276e+00,-1.179015807304212571e-01
6.920000000000000595e-01,4.588650183121908976e-01,9.909030980507304021e-01,1.995128687198192141e+00,-1.183396329892413418e-01
6.960000000000000631e-01,4.552399581520049643e-01,9.988750215850821235e-01,1.990808483346002467e+00,-1.187659460921843824e-01
7.000000000000000666e-01,4.516228900868189955e-01,1.006829369586053735e+00,1.986341215165637664e+00,-1.191804729099382870e-01
7.040000000000000702e-01,4.480140799982127442e-01,1.014765557349523339e+00,1.981728661337462505e+00,-1.195831695069920486e-01
7.080000000000000737e-01,4.444137905212484085e-01,1.022683007310833503e+00,1.976972612829055009e+00,-1.199739951328261112e-01
7.120000000000000773e-01,4.408222810225816413e-01,1.030581149092927751e+00,1.972074872389314892e+00,-1.203529122121021894e-01
7.160000000000000808e-01,4.372398075794917127e-01,1.038459419552465901e+00,1.967037254043404459e+00,-1.207198863338638101e-01
7.200000000000000844e-01,4.336666229598298283e-01,1.046317262823919680e+00,1.961861582588682484e+00,-1.210748862397587056e-01
7.240000000000000879e-01,4.301029766028826029e-01,1.054154130361656172e+00,1.956549693091776732e+00,-1.214178838112954101e-01
7.279999999999999805e-01,4.265491146011499146e-01,1.061969480980010649e+00,1.951103430386951887e+00,-1.217488540561458138e-01
7.319999999999999840e-01,4.230052796830331419e-01,1.069762780891356124e+00,1.945524648575920112e+00,-1.220677750935063033e-01
7.359999999999999876e-01,4.194717111964327838e-01,1.077533503742176713e+00,1.939815210529242329e+00,-1.223746281385304779e-01
7.399999999999999911e-01,4.159486450932502466e-01,1.085281130647146375e+00,1.933976987389463220e+00,-1.226693974858459185e-01
7.439999999999999947e-01,4.124363139147925184e-01,1.093005150221227906e+00,1.928011858076128293e+00,-1.229520704921691215e-01
7.479999999999999982e-01,4.089349467780754033e-01,1.100705058609794618e+00,1.921921708792825534e+00,-1.232226375580314504e-01
7.520000000000000018e-01,4.054447693630204852e-01,1.108380359516782043e+00,1.915708432536378902e+00,-1.234810921086305913e-01
7.560000000000000053e-01,4.019660039005442664e-01,1.116030564230885869e+00,1.909373928608355753e+00,-1.237274305738214342e-01
7.600000000000000089e-01,3.984988691615321543e-01,1.123655191649805873e+00,1.902920102128998314e+00,-1.239616523672604914e-01
7.640000000000000124e-01,3.950435804466951861e-01,1.131253768302554086e+00,1.896348863553735109e+00,-1.241837598647188845e-01
7.680000000000000160e-01,3.916003495773034970e-01,1.138825828369832260e+00,1.889662128192386437e+00,-1.243937583815788034e-01
7.720000000000000195e-01,3.881693848867917018e-01,1.146370913702492222e+00,1.882861815731208477e+00,-1.245916561495279545e-01
7.760000000000000231e-01,3.847508912132308612e-01,1.153888573838091736e+00,1.875949849757893695e+00,-1.247774642924678878e-01
7.800000000000000266e-01,3.813450698926620364e-01,1.161378366015553443e+00,1.868928157289658110e+00,-1.249511968016514540e-01
7.840000000000000302e-01,3.779521187532844939e-01,1.168839855187947752e+00,1.861798668304536442e+00,-1.251128705100648386e-01
7.880000000000000338e-01,3.745722321104948960e-01,1.176272614033401220e+00,1.854563315276009039e+00,-1.252625050660710337e-01
7.920000000000000373e-01,3.712056007627679288e-01,1.183676222964154645e+00,1.847224032711072939e+00,-1.254001229063288203e-01
7.960000000000000409e-01,3.678524119883755938e-01,1.191050270133778843e+00,1.839782756691883181e+00,-1.255257492280061893e-01
8.000000000000000444e-01,3.645128495429359461e-01,1.198394351442564121e+00,1.832241424421070741e+00,-1.256394119603020110e-01
8.040000000000000480e-01,3.611870936577857849e-01,1.205708070541101185e+00,1.824601973770851426e+00,-1.257411417352941319e-01
