s,rho,L,cyc0,cyc1,cyc2,cyc3,cov1,cov2,cov3,krms,kmax,dq10,dq25,dq50,dq75,dq90
5.500000000000000444e-01,-2.928028679154195263e-02,1.092006025873146235e+01,4.143754929652961050e-02,4.596738979290923566e-02,3.672261124843974323e-02,3.613190456380768745e-02,5.253112011296720008e-01,4.356370714075534223e-01,3.905172746277467410e-02,2.412187502773830428e+00,1.029280896620581842e+01,4.536348175912447989e-01,8.373211428212831153e-01,1.279509103431380801e+00,1.755331517040370048e+00,2.090326944585637836e+00
5.999999999999999778e-01,-2.669107350921676863e-02,1.098486123633633227e+01,4.041256011323728081e-02,4.575956707542332136e-02,3.622064792055235821e-02,3.543364335416977068e-02,5.268246159399017081e-01,4.336021809055183862e-01,3.957320315458011384e-02,2.428027421505596362e+00,1.031439070474937836e+01,4.532750214901595243e-01,8.416576496411107833e-01,1.278921195727548143e+00,1.755558624567433057e+00,2.091409705632855331e+00
6.500000000000000222e-01,-2.405643246872668853e-02,1.105169443914435057e+01,3.939260166098582788e-02,4.548858421054162438e-02,3.579185201138090910e-02,3.470274783861169998e-02,5.285219547490340730e-01,4.313940553960313173e-01,4.008398985493472760e-02,2.443709149562043326e+00,1.023882088861255824e+01,4.535544462018104572e-01,8.453914393536779981e-01,1.275493484881682349e+00,1.760032810851677176e+00,2.091363943031547379e+00
7.000000000000000666e-01,-2.137031658187894465e-02,1.112092758045961993e+01,3.838082561479345262e-02,4.514607776956252455e-02,3.541291002731702248e-02,3.396235763657649148e-02,5.303738707010460240e-01,4.290332819145759591e-01,4.059284738437844015e-02,2.459186965413143078e+00,1.004648351177245758e+01,4.576009336171866226e-01,8.427134128704287797e-01,1.277272105850856043e+00,1.760811448762314102e+00,2.089996284663232284e+00
7.500000000000000000e-01,-1.862404138983966492e-02,1.119305475584900122e+01,3.738598554810011049e-02,4.472405737652335178e-02,3.506068913059194603e-02,3.324241564928072379e-02,5.323575016505337487e-01,4.265358580282174183e-01,4.110664032124904804e-02,2.474563955911923685e+00,9.730567154904049332e+00,4.596413830340295159e-01,8.453691750911314085e-01,1.275953237403687934e+00,1.760793241437435874e+00,2.093033286222242051e+00
8.000000000000000444e-01,-1.580880950062739029e-02,1.126857991146076365e+01,3.642132699315629024e-02,4.421680357075161855e-02,3.471779165170450765e-02,3.257678809890704463e-02,5.344661507632387787e-01,4.239048236813175441e-01,4.162902555544357314e-02,2.490071891764417789e+00,9.848610562294679127e+00,4.565588325647852996e-01,8.508065852438070342e-01,1.274784335982081629e+00,1.760511869835555299e+00,2.090730895519350874e+00
8.499999999999999778e-01,-1.291795695188971763e-02,1.134793718200452695e+01,3.550221739720517411e-02,4.362186768390799441e-02,3.437516745175050320e-02,3.199771239886319701e-02,5.367137731843280024e-01,4.211255755363038089e-01,4.216065127936857032e-02,2.505997743819593282e+00,1.034194287989762451e+01,4.554565210001768061e-01,8.536576376500620844e-01,1.271768314417128565e+00,1.760206916286163548e+00,2.094589655953150942e+00
9.000000000000000222e-01,-9.946494816015014409e-03,1.143146626474881344e+01,3.464506585285324902e-02,4.293978856515972414e-02,3.403097279389925844e-02,3.153681876113091642e-02,5.391310725353911648e-01,4.181685585373129399e-01,4.270036892729522915e-02,2.522561832703460905e+00,1.081878574471978993e+01,4.565275573619329563e-01,8.582913941206885555e-01,1.268384132765925987e+00,1.756724540029673154e+00,2.090843554649170155e+00
9.500000000000000666e-01,-6.885774040018326214e-03,1.151941416689474629e+01,3.386730915403037695e-02,4.217290916540356038e-02,3.368710025556677368e-02,3.123398471088448952e-02,5.417555939613696303e-01,4.149983386452855139e-01,4.324606739334455746e-02,2.539779190299129574e+00,1.123859869047762317e+01,4.545533224008485584e-01,8.547563252527132782e-01,1.269873023094193032e+00,1.754308643492835218e+00,2.096937281827125688e+00
1.000000000000000000e+00,-3.716566423665522943e-03,1.161189538535982280e+01,3.318449323855587191e-02,4.132449528122319332e-02,3.334691700427106636e-02,3.115478325682187813e-02,5.446225400261097693e-01,4.115836103336723006e-01,4.379384964021770105e-02,2.557322384441808261e+00,1.153691470180622503e+01,4.500927839836477151e-01,8.492685469085172745e-01,1.272769740934248217e+00,1.755402860215393934e+00,2.103333747691041200e+00
