Re_parent,m,ell_grad_over_delta,tau_diff_ell_over_tau_nl,Re_sub_if_parent_amplitude,Re_target_next,required_vorticity_amplitude_boost,log_boost
1.584893192461114040e+03,4.000000000000000000e+00,6.309573444801929842e-04,6.309573444801929842e-04,6.309573444801929842e-04,6.339572769844456161e+03,1.004754572603832744e+07,1.612283895628178243e+01
1.778279410038922833e+03,1.000000000000000000e+00,5.623413251903490971e-04,5.623413251903490971e-04,5.623413251903490971e-04,1.778279410038922833e+03,3.162277660168379080e+06,1.496680310446129702e+01
1.778279410038922833e+03,2.000000000000000000e+00,5.623413251903490971e-04,5.623413251903490971e-04,5.623413251903490971e-04,3.556558820077845667e+03,6.324555320336758159e+06,1.565995028502124242e+01
1.778279410038922833e+03,4.000000000000000000e+00,5.623413251903490971e-04,5.623413251903490971e-04,5.623413251903490971e-04,7.113117640155691333e+03,1.264911064067351632e+07,1.635309746558118604e+01
1.995262314968880901e+03,1.000000000000000000e+00,5.011872336272719854e-04,5.011872336272719854e-04,5.011872336272719854e-04,1.995262314968880901e+03,3.981071705534977373e+06,1.519706161376070241e+01
1.995262314968880901e+03,2.000000000000000000e+00,5.011872336272719854e-04,5.011872336272719854e-04,5.011872336272719854e-04,3.990524629937761802e+03,7.962143411069954745e+06,1.589020879432064781e+01
1.995262314968880901e+03,4.000000000000000000e+00,5.011872336272719854e-04,5.011872336272719854e-04,5.011872336272719854e-04,7.981049259875523603e+03,1.592428682213990949e+07,1.658335597488059321e+01
2.238721138568339939e+03,1.000000000000000000e+00,4.466835921509630485e-04,4.466835921509630485e-04,4.466835921509630485e-04,2.238721138568339939e+03,5.011872336272723973e+06,1.542732012306010603e+01
2.238721138568339939e+03,2.000000000000000000e+00,4.466835921509630485e-04,4.466835921509630485e-04,4.466835921509630485e-04,4.477442277136679877e+03,1.002374467254544795e+07,1.612046730362005320e+01
2.238721138568339939e+03,4.000000000000000000e+00,4.466835921509630485e-04,4.466835921509630485e-04,4.466835921509630485e-04,8.954884554273359754e+03,2.004748934509089589e+07,1.681361448417999682e+01
2.511886431509582053e+03,1.000000000000000000e+00,3.981071705534969187e-04,3.981071705534969187e-04,3.981071705534969187e-04,2.511886431509582053e+03,6.309573444801942445e+06,1.565757863235951142e+01
2.511886431509582053e+03,2.000000000000000000e+00,3.981071705534969187e-04,3.981071705534969187e-04,3.981071705534969187e-04,5.023772863019164106e+03,1.261914688960388489e+07,1.635072581291945681e+01
